,measurement,timestamp_pulse_id,imageid,separation_um,balance,xi_um_guess,crop_px,snr_db,sigma_x_F_gamma_um_multiplier,pixis_profile_avg_width,sigma_F_gamma_um_opt_v3,xi_x_um_v3,xi_y_um_v3,chi2distance_deconvmethod_2d_v3,chi2distance_deconvmethod_1d_v3,xi_um_v3
0,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027980,47,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,39.42416375465304,495.88368655525375
1,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027060,25,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,48.74387194569609,447.1165003315666
2,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026120,3,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,43.06050232300172,394.1691631934182
3,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026140,4,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,30.5632687134828,491.1722837138668
4,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027020,23,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,35.636175945108235,492.51370565983297
5,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027600,40,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,164.67384909600457,390.8813330657068
6,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026980,21,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,53.13595550709688,387.8226801499807
7,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028000,48,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,58.3899799069824,468.4316682592769
8,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027580,39,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,26.28977575502159,474.1628729785194
9,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027860,41,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,60.45625088320626,427.71875514665953
10,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028040,50,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,45.62683931790836,440.8636486778995
11,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027160,30,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,47.25926864557708,413.81245100058993
12,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027940,45,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,35.09206286200736,427.1635386573594
13,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026180,6,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,39.64579999328536,434.8889203542509
14,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026620,16,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,108.20529630724673,419.7854828351394
15,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026260,10,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,28.716568912473587,464.1540213933338
16,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026560,13,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,32.48314708811856,434.1677451892811
17,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027520,36,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,29.899886362423302,433.7981581201191
18,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027960,46,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,51.39663154856216,431.8949564709751
19,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027920,44,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,49.32834803705565,430.1997710530919
20,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028020,49,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,35.686719206737656,434.258623644008
21,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027040,24,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,118.2423305703604,495.2299210620116
22,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026520,11,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,24.342402918780166,504.3123297794523
23,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026660,18,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,91.9964186675346,464.43298975140897
24,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026160,5,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,17.224691463954443,473.7055201202916
25,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026200,7,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,94.47115602050212,444.4070516829532
26,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027440,32,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,42.20082624535223,448.14537882401686
27,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027480,34,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,47.88363814485635,432.8588025265286
28,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027500,35,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,31.864823161279297,444.4272023858086
29,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026060,0,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,38.022714412551,496.8199368042905
30,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027100,27,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,56.915871629898,439.1930096496769
31,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027560,38,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,49.73534919248917,465.7129571128794
32,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026220,8,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,33.08565976208948,513.1744465898685
33,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027140,29,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,86.08510612892196,464.6813571547858
34,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026700,20,322.0,,400.0,50.0,26.8,1.2,200.0,,,,,204.1343753729763,441.6396012643683
