,measurement,timestamp_pulse_id,imageid,separation_um,balance,snr_db,pixis_profile_avg_width,crop_px,xi_um_guess,sigma_x_F_gamma_um_multiplier,xatol,sigma_F_gamma_um_opt_v2,xi_x_um_v2,xi_y_um_v2,chi2distance_deconvmethod_2d_v2
0,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026540,12,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,412.901051005794,604.0035325845812,249.00112152350303
1,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027980,47,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,495.83531248010127,604.0035325846892,127.09571273518915
2,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027060,25,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,441.3293090539456,530.7930207301687,136.2894208968945
3,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026120,3,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,395.4899899424962,332.1968329039684,45.61004837777402
4,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026140,4,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,488.16090705306925,604.0035325847418,70.25657810787496
5,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027020,23,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,485.7249920566002,604.003532584568,247.31959256787857
6,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027600,40,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,388.7669691370464,252.06530534899773,176.62345667776995
7,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026980,21,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,390.5727773712421,530.7930207301664,94.40091664433336
8,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028000,48,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,465.6943933595573,604.0035325847759,173.2165833403291
9,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027580,39,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,447.0423116108476,267.3228604444676,57.919855935239646
10,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027860,41,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,421.6958729356928,530.7930207301822,134.63744835104882
11,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028040,50,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,437.7419264568521,530.7930207301778,91.89731700243132
12,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027160,30,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,403.5715239998116,604.0035325846197,146.90630727684982
13,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027940,45,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,424.067605307937,604.0035325846688,80.13079057891412
14,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026180,6,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,433.6316042007561,604.0035325850143,47.78057598582605
15,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026620,16,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,421.2432351832058,344.2546817655379,295.12267267681534
16,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026260,10,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,464.2535612809813,347.3313795054087,139.87195269950033
17,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026560,13,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,426.9030661972876,604.0035325843453,42.32174207080044
18,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027520,36,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,439.1477760979127,604.0035325847756,144.27904650835674
19,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027960,46,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,426.4544023916928,814.6179504513894,198.9494145106788
20,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027920,44,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,423.57124846370925,814.6179504541414,98.61325256754654
21,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028020,49,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,432.3555436548799,604.0035325848074,178.95026203493262
22,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027040,24,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,490.3949092158804,300.3978865809865,295.8604217436843
23,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026520,11,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,485.6404604961964,704.7624773999605,59.259753570425566
24,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026660,18,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,460.35039648571393,343.8786212873221,117.5730966150872
25,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026160,5,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,462.3947955698399,435.5187157098459,42.4533595201587
26,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026200,7,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,443.0870200698185,383.88531116152507,133.57766872442187
27,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027440,32,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,446.1588061373549,483.173871473792,81.54462854394544
28,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027480,34,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,431.76933742853953,604.0035325845981,89.28509927776194
29,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027500,35,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,441.5586730696168,396.4249461584024,47.9894864949801
30,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026060,0,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,490.47574174542297,604.0035325845987,91.30608042845128
31,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027100,27,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,438.7357554769209,300.39788658098644,68.17701630239681
