,measurement,timestamp_pulse_id,imageid,separation_um,balance,snr_db,pixis_profile_avg_width,crop_px,xi_um_guess,sigma_x_F_gamma_um_multiplier,xatol,chi2distance_deconvmethod_2d_v3,xi_x_um_v3,xi_y_um_v3
0,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026540,12,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,23.815675251674108,415.2884230886838,1077.4162844144405
1,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027980,47,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,39.98735090958764,495.8388275313583,530.7930207301941
2,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027060,25,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,20.936431002802014,447.1434380333743,1077.4162844133584
3,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026120,3,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,43.39022975569286,394.5575213489814,300.3978865809864
4,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026140,4,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,23.25637371361889,491.0756901836021,934.1905728861634
5,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027020,23,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,23.349879401218296,491.862736220169,952.9379979678648
6,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027600,40,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,27.69731294591473,391.1574139601378,1077.4162844237778
7,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026980,21,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,37.06107939803612,387.8747090692623,952.9379979784388
8,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028000,48,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,18.41935231450828,468.4274788950653,1403.784769607738
9,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027580,39,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,15.73242032379573,474.5036638730057,1077.416284413217
10,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027860,41,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,26.66387954325218,427.8929034502741,930.9152961767188
11,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028040,50,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,13.842188771063578,440.86648471344,814.6179504494553
12,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027160,30,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,18.43654296727402,413.293892018824,1188.9211792480376
13,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027940,45,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,18.53605077275764,427.3800524669837,718.1171616035197
14,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026180,6,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,25.517020686012057,434.7844952767586,1092.4338334436443
15,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026620,16,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,29.743471426337862,419.9925040029124,1107.8239541270354
16,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026260,10,322.0,,26.8,200.0,50.0,400.0,1.2,5.0,14.666594953939736,464.2712907133717,814.6179504503122
