,timestamp_pulse_id,pixis_centerx_px,phap_height_px,I_Airy2_do_fit,mod_sigma_um_range_1,wavelength_nm_range_1,x1_um_fit,mod_shiftx_um_range_0,x2_um_range_0,sigma_x_F_gamma_um_multiplier,wavelength_nm,x1_um_do_fit,z_mm_fit,gamma_fit_v2,xi_um,pinholes_bg_avg_sy_um,x1_um_range_1,w2_um,zeta_x_fit,shiftx_um_range_0,wavelength_nm_range_0,gamma_do_fit,w2_um_range_0,xi_x_um_fit,d_um_range_0,pinholes_bg_avg_yc_um,z_mm,x2_um_fit,pinholes_bg_avg_phi,I_Airy2,mod_shiftx_um,I_Airy1_range_1,pinholes_centery_px,zeta_y,I_Airy1_fit,d_um_fit,xi_um_guess,mod_sigma_um_range_0,d_um_at_detector,mod_shiftx_um_fit,normfactor_do_fit,z_mm_range_0,pixis_profile_centerx_px_fit,I_Airy2_fit,I_Airy1_do_fit,I_Airy2_range_1,mod_sigma_um_fit,d_um_do_fit,pixis_profile_avg_width,xi_y_um,xi_um_fit_v2,balance,wavelength_nm_fit,d_um_range_1,zeta_y_fit,sigma_F_gamma_um_opt,phap_diam_um,crop_px,z_mm_do_fit,w2_um_do_fit,w2_um_fit,pinholes_cm_x_px,mod_shiftx_um_range_1,I_Airy2_range_0,xi_x_um,pinholes_cm_y_px,x2_um_do_fit,pixis_rotation,gamma_range_0,mod_shiftx_um_do_fit,d_um,shiftx_um_fit,gamma,w1_um_fit,shiftx_um,phap_yc_px,xatol,pinholes_centerx_px,w1_um_do_fit,I_Airy1,normfactor,pixis_profile_centery_px_fit,phcam_scaley_um_per_px,mod_sigma_um,x2_um_range_1,w2_um_range_1,wavelength_nm_do_fit,pixis_image_minus_bg_rot_cropped_counts,pinholes_bg_avg_sx_um,phcam_scalex_um_per_px,normfactor_range_0,shiftx_um_range_1,xi_y_um_fit,I_Airy1_range_0,z_mm_range_1,x1_um_range_0,x1_um,phap_width_px,normfactor_range_1,zeta_x,phap_xc_px,shiftx_um_do_fit,pinholes_bg_avg_xc_um,mod_sigma_um_do_fit,x2_um,w1_um_range_0,w1_um_range_1,w1_um,gamma_fit,snr_db,xi_um_fit,pixis_centery_px,gamma_range_1,bgfactor
0,1545411766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1545411786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1545411806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1545411826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1545411846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1545411886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1545411906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1545411946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1545412206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1545412246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1545412266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1545412286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1545412326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1545412346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1545412386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1545413226,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,
16,1545413266,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,
17,1545413286,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,
18,1545413306,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,
