,dataset,measurement,x2_um_measurement_default,z_mm_measurement_default,x1_um_range_1_measurement_default,wavelength_nm_measurement_default,w1_um_range_1_measurement_default,x1_um_range_0_measurement_default,wavelength_nm_do_fit_measurement_default,d_um_measurement_default,normfactor_range_1_measurement_default,normfactor_range_0_measurement_default,w1_um_do_fit_measurement_default,normfactor_do_fit_measurement_default,shiftx_um_range_0_measurement_default,z_mm_range_1_measurement_default,x1_um_do_fit_measurement_default,w1_um_measurement_default,w2_um_measurement_default,mod_shiftx_um_range_0_measurement_default,wavelength_nm_range_0_measurement_default,d_um_do_fit_measurement_default,I_Airy1_range_1_measurement_default,I_Airy2_range_0_measurement_default,x2_um_do_fit_measurement_default,I_Airy2_measurement_default,shiftx_um_range_1_measurement_default,mod_sigma_um_range_1_measurement_default,mod_shiftx_um_measurement_default,shiftx_um_do_fit_measurement_default,x2_um_range_0_measurement_default,gamma_range_0_measurement_default,I_Airy1_measurement_default,I_Airy1_do_fit_measurement_default,I_Airy2_do_fit_measurement_default,x2_um_range_1_measurement_default,d_um_range_0_measurement_default,d_um_range_1_measurement_default,I_Airy2_range_1_measurement_default,pixis_profile_avg_width_measurement_default,gamma_measurement_default,gamma_do_fit_measurement_default,z_mm_do_fit_measurement_default,I_Airy1_range_0_measurement_default,z_mm_range_0_measurement_default,normfactor_measurement_default,gamma_range_1_measurement_default,mod_sigma_um_range_0_measurement_default,mod_sigma_um_do_fit_measurement_default,mod_shiftx_um_range_1_measurement_default,wavelength_nm_range_1_measurement_default,w2_um_range_1_measurement_default,w2_um_do_fit_measurement_default,mod_shiftx_um_do_fit_measurement_default,mod_sigma_um_measurement_default,w2_um_range_0_measurement_default,x1_um_measurement_default,crop_px_measurement_default,shiftx_um_measurement_default,w1_um_range_0_measurement_default
0,8nm vertical S,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0215um (3a#1) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,True,True,-1500,5790,True,11,11,-10000,7.9,True,1.5,0.2,True,0.8,1500,100000,3000,True,0,0.01,1,True,True,2075,50,1337,5.5,200,0.8,True,True,0.2,5770,1,1,1500,True,10000,8.1,15,True,True,3000,8,-1075,50,897,8
1,8nm vertical S,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
2,8nm vertical S,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
3,8nm vertical S,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0707um (1b) ap5=7.0 ap7=50.0 (bg1cd) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
4,8nm vertical S,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 1047um (3b#1) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
5,8nm horizontal S,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0107um (2c#1) ap5=7.0 ap7=50.0 2017-11-27T1101 8.0nm 45uJ 12Und. KOAS=_mm (bg2ab-Nb197) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
6,8nm horizontal S,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0215um (3c) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
7,8nm horizontal S,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5c) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
8,8nm horizontal S,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0707um (1d) ap5=7.0 ap7=50.0 (bg1cd) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
9,8nm horizontal S,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 1047um (3d) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
