,measurement,timestamp_pulse_id,imageid,separation_um,pixis_profile_avg_width,crop_px,shiftx_um,shiftx_um_range_0,shiftx_um_range_1,shiftx_um_do_fit,wavelength_nm,wavelength_nm_range_0,wavelength_nm_range_1,wavelength_nm_do_fit,z_mm,z_mm_range_0,z_mm_range_1,z_mm_do_fit,d_um,d_um_range_0,d_um_range_1,d_um_do_fit,gamma,gamma_range_0,gamma_range_1,gamma_do_fit,w1_um,w1_um_range_0,w1_um_range_1,w1_um_do_fit,w2_um,w2_um_range_0,w2_um_range_1,w2_um_do_fit,I_Airy1,I_Airy1_range_0,I_Airy1_range_1,I_Airy1_do_fit,I_Airy2,I_Airy2_range_0,I_Airy2_range_1,I_Airy2_do_fit,x1_um,x1_um_range_0,x1_um_range_1,x1_um_do_fit,x2_um,x2_um_range_0,x2_um_range_1,x2_um_do_fit,normfactor,normfactor_range_0,normfactor_range_1,normfactor_do_fit,mod_sigma_um,mod_sigma_um_range_0,mod_sigma_um_range_1,mod_sigma_um_do_fit,mod_shiftx_um,mod_shiftx_um_range_0,mod_shiftx_um_range_1,mod_shiftx_um_do_fit,shiftx_um_fit_v1,wavelength_nm_fit_v1,z_mm_fit_v1,d_um_fit_v1,d_um_at_detector_v1,gamma_fit_v1,w1_um_fit_v1,w2_um_fit_v1,I_Airy1_fit_v1,I_Airy2_fit_v1,x1_um_fit_v1,x2_um_fit_v1,chi2distance_fitting_v1,xi_um_fit_v1
0,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026540,12,322.0,200.0,,832.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,,,,,,,,,825.5878112767468,7.976679247403025,,,3085.676275082577,0.7296175712107495,11.041679086745852,11.216326275296248,1.0,1.104062473794247,-2080.891031372797,1004.7852437097796,0.05855022026277,405.5307827352804
1,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027980,47,322.0,200.0,,390.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,,,,,,,,,384.5707294253782,7.993045139176111,,,3076.4235286000835,0.8159432808332999,11.058108843225655,11.045524798771226,1.0,1.0859149403397812,-1719.3085579049516,1357.114970695132,0.0342002205384154,504.8405827157629
2,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027060,25,322.0,200.0,,390.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,,,,,,,,,385.8817163953686,7.959221242128824,,,3052.205462491693,0.7565590092060864,10.93873366951204,11.115293295919704,1.0,0.9868774878031366,-1635.7138186929296,1416.4916437987636,0.0700154671769683,431.08055025020815
3,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026120,3,322.0,200.0,,403.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,,,,,,,,,403.9269360013968,7.963801388968866,,,3103.552052351797,0.7221618621624459,11.108822473425777,10.998478341904312,1.0,1.1610790959793285,-1705.4932443129674,1398.05880803883,0.0467804115639323,399.0813093964997
4,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026140,4,322.0,200.0,,117.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,,,,,,,,,122.06540188179474,7.950277074326498,,,3123.1205352585966,0.7881224867315096,11.122635283994605,10.94501048340487,1.0,1.1685299941927811,-1467.807943478805,1655.3125917797918,0.0564707049813715,466.6159393338857
5,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027020,23,322.0,200.0,,689.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,,,,,,,,,684.5874360632897,7.964338103246538,,,3115.1289081405826,0.8036423002895777,11.10543887995003,10.965389249414947,1.0,1.7347286257467962,-2034.339746653091,1080.7891614874916,0.0259396692511047,486.98411241046654
6,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027600,40,322.0,200.0,,117.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,,,,,,,,,114.24612276873836,7.94993379868787,,,3106.969267343284,0.6963007548866299,11.017693010238686,11.097204981474402,1.0,0.9579489020987468,-1385.4203206825375,1721.5489466607455,0.0588912649900159,378.444701858476
7,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026980,21,322.0,200.0,,403.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,,,,,,,,,404.1728323089426,7.954912134627927,,,3113.681125388729,0.7159095501961508,11.168601364851249,10.99881452779372,1.0,1.2905197139496585,-1724.9528963571306,1388.7282290315989,0.0452101352570855,393.85531557037217
8,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028000,48,322.0,200.0,,104.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,,,,,,,,,107.64610964265376,7.974713235109651,,,3121.877355486835,0.7889736575236359,11.090980696945286,10.948305886558735,1.0,1.2695901177286668,-1462.5484769794953,1659.3288785073398,0.02237799478702,467.6772322205101
9,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027580,39,322.0,200.0,,390.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,,,,,,,,,387.9879023750887,7.972667797414419,,,3095.4820837288453,0.785514674907154,11.016673944053911,10.93303277622883,1.0,1.3035692564487074,-1716.195722934519,1379.2863607943266,0.0194429133303765,463.4018078126066
